,Marca,Gasolina 95,Gasolina 98,Gasóleo A,Direccion,Poblacion,Horario,Fecha
11667,DISA ESCALERITAS,0.997,1.107,0.879,"PLAZA HERMANOS MILLARES, S/N",PALMAS DE GRAN CANARIA (LAS),L-D 06,2019-04-15 15:39:40.379273
11668,REPSOL,1.005,1.125,0.869,"AVENIDA ESCALERITAS, S/N",PALMAS DE GRAN CANARIA (LAS),L-D 06,2019-04-15 15:39:46.554032
11669,REPSOL,0.989,1.109,0.879,"AVENIDA DE ESCALERITAS, 112",PALMAS DE GRAN CANARIA (LAS),L-D 06,2019-04-15 15:39:51.729959
11670,BP ALTAVISTA,1.039,1.179,0.939,"CALLE OBISPO ROMO - ESQ.ECHEGARAY, S/N",PALMAS DE GRAN CANARIA (LAS),L-D 24H,2019-04-15 15:39:57.763237
11671,BP TAXISTAS SAN CRISTOBAL,1.034,1.164,0.934,"CALLE PÁRROCO MATÍAS ARTILES, 42",PALMAS DE GRAN CANARIA (LAS),L-D 24H,2019-04-15 15:40:04.209419
11672,DISA EL DRAGON,0.999,1.124,0.881,"CALLE DIEGO VEGA SARMIENTO, 70",PALMAS DE GRAN CANARIA (LAS),L-S 06,2019-04-15 15:40:11.301870
11673,DISA ALMATRICHE,1.039,1.212,0.949,CARRETERA GENERAL DE ALMATRICHE KM. 48,ALMATRICHE,L-D 24H,2019-04-15 15:40:16.617065
11674,DISA TAMARACEITE,0.999,1.129,0.872,"GLORIETA ACCESO SUR TAMARACEITE, 4",ALMATRICHE,L-D 24H,2019-04-15 15:40:16.813076
11675,REPSOL,1.005,1.125,0.869,"AVENIDA HOYA DE LA GALLINA, S/N",MONTAÑETA (LA),L-D 07,2019-04-15 15:40:21.720194
11676,REPSOL,1.038,1.145,0.966,"AVENIDA FEDERICO GARCIA LORCA, 1",PALMAS DE GRAN CANARIA (LAS),L-D 24H,2019-04-15 15:40:31.641341
11677,DISA TARAHALES I,0.999,1.119,0.881,CARRETERA LOS TARAHALES KM. S/N,PALMAS DE GRAN CANARIA (LAS),L-D 24H,2019-04-15 15:40:39.732422
11678,E.S. AQUI SI MILLER BAJO,1.004,1.089,0.879,"CALLE LUIS CORREA MEDINA, 19",PALMAS DE GRAN CANARIA (LAS),L-D 24H,2019-04-15 15:40:46.673196
11679,E.S. AQUI SI DISA VEGUETA,1.004,1.089,0.879,"CALLE EUFEMIANO JURADO, 4",PALMAS DE GRAN CANARIA (LAS),L-D 24H,2019-04-15 15:40:53.918415
11680,BP TERMINAL PUERTO,1.039,1.169,0.949,"PLAZA MISTER JOLLY, S/N",PALMAS DE GRAN CANARIA (LAS),L-V 06,2019-04-15 15:41:01.040717
11681,CEPSA,1.019,1.146,0.906,"C-811, MD, PK km 2.6",PALMAS DE GRAN CANARIA (LAS),L-D 06,2019-04-15 15:41:06.735874
11682,CEPSA LA CAZUELA,1.009,1.119,0.906,"CARRETERA CTRA. GRAL. DE TENOYA, 1 FINCA EL CANONIGO KM. 1",PALMAS DE GRAN CANARIA (LAS),L-D 24H,2019-04-15 15:41:11.618025
11683,BP SAN LORENZO,1.039,1.169,0.939,"CARRETERA GENERAL SAN LORENZO KM. 0,5",PALMAS DE GRAN CANARIA (LAS),L-D 24H,2019-04-15 15:41:16.860812
11684,REPSOL,1.005,1.115,0.895,CARRETERA DE CHILE KM. 84,PALMAS DE GRAN CANARIA (LAS),L-D 06,2019-04-15 15:41:26.757815
11685,REPSOL,1.015,1.145,0.909,CARRETERA SAN LORENZO KM. S/N,PALMAS DE GRAN CANARIA (LAS),L-D 06,2019-04-15 15:41:32.015437
11686,BP SAN JOSE,1.039,1.169,0.949,"CALLE BLAS CABRERA FELIPE, 2",PALMAS DE GRAN CANARIA (LAS),L-D 24H,2019-04-15 15:41:41.784573
11687,DISA,1.039,1.23,0.969,"CALLE BLAS CABRERA FELIPE FISICO, 26",PALMAS DE GRAN CANARIA (LAS),L-D 24H,2019-04-15 15:41:47.200644
11688,CEPSA,0.993,1.129,0.909,"AUTOVIA AUTOVIA GC-3 KM. 1,3",PALMAS DE GRAN CANARIA (LAS),L-D 24H,2019-04-15 15:41:56.738408
11689,SHELL MERCALASPALMAS,0.999,1.114,0.867,CARRETERA CTRA. CUESTA RAMON KM. 1,PALMAS DE GRAN CANARIA (LAS),L-V 04,2019-04-15 15:42:04.969729
11690,BP PUERTO DE LA LUZ,1.032,1.172,0.952,"CL ATINDANA, 2",PALMAS DE GRAN CANARIA (LAS),L-D 24H,2019-04-15 15:42:11.857801
11691,DISA PUERTO DE LA LUZ,1.014,1.069,0.949,"AVENIDA DE LAS PETROLIFERAS, S/N",PALMAS DE GRAN CANARIA (LAS),L-S 06,2019-04-15 15:42:17.667822
11692,SHELL REHOYAS,1.001,1.102,0.881,CARRETERA GC 200 KM. 16,PALMAS DE GRAN CANARIA (LAS),L-D 06,2019-04-15 15:42:22.816419
11693,DISA EL SEBADAL,1.019,1.255,0.959,"CALLE DR. JUAN DOMINGUEZ PEREZ, 11",PALMAS DE GRAN CANARIA (LAS),L-D 06,2019-04-15 15:42:29.190172
11694,CEPSA MUELLE GRANDE,1.009,1.066,0.949,"LUGAR EXPLANADA TOMAS QUEVEDO, S/N",PALMAS DE GRAN CANARIA (LAS),L-V 06,2019-04-15 15:42:35.562745
11695,BP CIDELMAR,1.039,1.169,0.949,"AVENIDA CANARIAS, 6",PALMAS DE GRAN CANARIA (LAS),L-D 24H,2019-04-15 15:42:46.925181
11696,SHELL TOMAS MORALES,0.999,1.087,0.904,"PASEO TOMS MORALES, 94",PALMAS DE GRAN CANARIA (LAS),L-D 06,2019-04-15 15:42:54.696081
11697,CEPSA PLAZA DEL PINO,0.999,1.087,0.904,"PASEO CHIL, 2",PALMAS DE GRAN CANARIA (LAS),L 06,2019-04-15 15:43:01.790984
