,Marca,Gasolina 95,Gasolina 98,Gasóleo A,Direccion,Poblacion,Horario,Fecha
24,CEPSA,1.389€, -,1.289€,"RONDA SAN PABLO, 39",BARCELONA,L-S 07,2019-04-13 18:19:11.317920
25,CEPSA,1.389€,1.504€,1.289€,"CALLE CASANOVA, 89",BARCELONA,L-D 24H,2019-04-13 18:19:11.317920
26,GALP,1.344€,1.474€,1.264€,"AVINGUDA DEL PARALELO, 132",BARCELONA,L-D 24H,2019-04-13 18:19:11.317920
27,PETROMIRALLES,1.279€,1.392€,1.269€,"CALLE PORT DE HAIFA, S/N",BARCELONA,L-D 24H,2019-04-13 18:19:11.317920
28,PETROPRIX,1.229€, -,1.139€,"CALLE BADAJOZ, 108",BARCELONA,L-D 24H,2019-04-13 18:19:11.317920
29,GALP,1.329€,1.409€,1.229€,"PASSEIG ZONA FRANCA, 81",BARCELONA,L-V 06,2019-04-13 18:19:11.317920
30,REPSOL,1.409€,1.489€,1.309€,"AVENIDA BOGATELL, 49",BARCELONA,L-V 07,2019-04-13 18:19:11.317920
31,GALP,1.409€, -,1.319€,"CALLE CALLE Y PUERTO AUTONOMO, S/N",BARCELONA,L-V 06,2019-04-13 18:19:11.317920
32,SHELL,1.409€,1.559€,1.309€,"CALLE IRADIER, S/N",BARCELONA,L-D 24H,2019-04-13 18:19:11.317920
33,REPSOL,1.409€,1.489€,1.309€,"CALLE DOCTOR AIGUADER, 74",BARCELONA,L-S 07,2019-04-13 18:19:11.317920
34,PETRONIEVES,1.319€,1.419€,1.219€,"CALLE LLETRA B DE LA ZONA FRANCA, 13",BARCELONA,L-D 24H,2019-04-13 18:19:11.317920
35,E.S.MOYANES,1.379€,1.509€,1.289€,"MOIANES, 34",BARCELONA,L-D 24H,2019-04-13 18:19:11.317920
36,OIL PRIX,1.315€,1.415€,1.189€,CARRETERA L'ARRABASSADA KM. 5,BARCELONA,L-D 24H,2019-04-13 18:19:11.317920
37,GALP,1.379€,1.499€,1.284€,"C/ Rambla Volart, 2 - Passeig Maragall",BARCELONA,L-D 24H,2019-04-13 18:19:11.317920
38,CEPSA,1.409€,1.524€,1.309€,"AVENIDA PARALELO, 179",BARCELONA,L-D 24H,2019-04-13 18:19:11.317920
39,REPSOL,1.409€, -,1.319€,"PASSEIG ZONA FRANCA, 82",BARCELONA,L-D 06,2019-04-13 18:19:11.317920
40,REPSOL,1.409€,1.549€,1.319€,"CL PASEO ZONA FRANCA, 35",BARCELONA,L-D 06,2019-04-13 18:19:11.317920
